id,Competition,squad,agencyid,agency,PlayerPercentage,PlayerValuePercentage,HeadCoach,TotalDeals,DealsValuePercentage,InfluenceIndex
1728,Italy - Serie A (1),AC Monza,1176,Gr Sports,0.056338028,0.187498267,0,15,0.494505,95.46745515
47,England - Premier League (1),Tottenham Hotspur,8726,CAA Base,0.023809524,0.040397853,1,12,0.181207,92.15898995
5,Italy - Serie A (1),Inter Milan,1176,Gr Sports,0.020408163,0.073427741,0,11,0.31088,90.72408878
11353,Germany - Bundesliga (1),TSG 1899 Hoffenheim,1850,ROGON,0.031578947,0.035574613,0,10,0.267242,89.42860097
48,England - Premier League (1),Manchester City,8673,CAA Stellar,0.053763441,0.020806584,0,14,0.267796,89.37379459
17788,France - Ligue 1 (1),Paris Saint-Germain,1017,Gestifute,0.084745763,0.194758936,0,8,0.266294,89.16091106
11,Italy - Serie A (1),Atalanta BC,9668,TMP Soccer,0.034722222,0.159723047,0,15,0,86.80895261
10,Italy - Serie A (1),Bologna FC 1909,13179,MM-Management,0.041666667,0.132918102,0,9,0.115589,86.65701663
29455,England - Premier League (1),Nottingham Forest,8673,CAA Stellar,0,0,0,9,0.248307,86.23940802
60,England - Premier League (1),Newcastle United,5855,360 Football,0,0,0,6,0.511648,85.49372704
65,England - Premier League (1),Wolverhampton Wanderers,2258,Unique Sports Group,0.050632911,0,0,11,0.079247,85.34691006
11,Italy - Serie A (1),Atalanta BC,1176,Gr Sports,0.006944444,0.02784643,0,12,0.068033,85.23832664
60,England - Premier League (1),Newcastle United,8673,CAA Stellar,0.036585366,0.000331088,0,10,0.051971,84.63020472
62,England - Premier League (1),Southampton FC,2258,Unique Sports Group,0.026666667,0.12190822,0,8,0.124579,84.39833469
1,Italy - Serie A (1),AC Milan,1176,Gr Sports,0.010526316,0.010598059,0,11,0,83.4283696
63,England - Premier League (1),Everton FC,8726,CAA Base,0.016129032,0.004779856,0,10,0,83.36034299
62,England - Premier League (1),Southampton FC,8673,CAA Stellar,0.013333333,0.000558974,0,11,0,83.23313033
13,Italy - Serie A (1),ACF Fiorentina,9756,GEA World,0.017699115,0.069222025,0,9,0,82.5620097
50,England - Premier League (1),Chelsea FC,2258,Unique Sports Group,0.070588235,0.030057407,0,9,0,82.26321174
32429,Germany - Bundesliga (1),Eintracht Frankfurt,9515,Sports360,0.036585366,0.009381148,1,6,0.081886,82.12592076
71,England - Premier League (1),AFC Bournemouth,2258,Unique Sports Group,0.031746032,0.040359952,0,9,0,82.04670151
70,England - Premier League (1),Brighton & Hove Albion,8673,CAA Stellar,0.025,0.033398223,0,9,0,81.79892946
3,Italy - Serie A (1),Juventus FC,422,World Soccer Agency,0.037313433,0.024521321,0,8,0.095757,81.63053534
15,Italy - Serie A (1),Torino FC,1461,Football Stars Agency,0.037735849,0.004698065,0,9,0.00375,81.34688855
8077,France - Ligue 1 (1),Angers SCO,11987,World Elites Sport Team,0.019230769,0.035301598,0,1,0.76923,81.02129798
28879,Spain - La Liga (1),Athletic Bilbao,9350,Niagara Sports,0.020833333,0.041952813,0,1,0.75,80.72632152
13,Italy - Serie A (1),ACF Fiorentina,8726,CAA Base,0,0,0,9,0,80.6665355
65,England - Premier League (1),Wolverhampton Wanderers,1017,Gestifute,0.063291139,0.138014348,0,7,0.023445,80.49170873
62,England - Premier League (1),Southampton FC,5855,360 Football,0,0,0,7,0.185099,80.28710561
29455,England - Premier League (1),Nottingham Forest,8726,CAA Base,0.013333333,0.00399554,0,8,0.071912,80.22221731
11753,England - Premier League (1),Ipswich Town,8673,CAA Stellar,0.055555556,0.001753697,0,6,0.252632,80.21164471
35822,Germany - Bundesliga (1),Bayern Munich,8744,ROOF,0.027272727,0.04456982,0,8,0.020695,80.12750463
64,England - Premier League (1),Crystal Palace,2258,Unique Sports Group,0.024390244,0.074659815,0,7,0.088916,80.04649192
46,England - Premier League (1),Liverpool FC,252,PLG,0.08045977,0.032049053,0,8,0,79.95579299
11,Italy - Serie A (1),Atalanta BC,8726,CAA Base,0.006944444,0.047895008,0,7,0.117616,79.86987685
27985,France - Ligue 1 (1),Le Havre AC,9383,ND Sports Management,0.05,0.126237152,0,2,0.517241,79.85668269
12761,Spain - La Liga (1),RCD Espanyol Barcelona,6017,EGGO,0.017241379,0.016105403,0,1,0.722125,79.28480409
66,England - Premier League (1),Leicester City,5855,360 Football,0,0,0,8,0.043997,79.20830594
10,Italy - Serie A (1),Bologna FC 1909,422,World Soccer Agency,0.03125,0.051203037,0,5,0.271102,79.04487873
39789,Italy - Serie A (1),Como 1907,9668,TMP Soccer,0.06122449,0.040135187,0,7,0.064882,78.98261462
39339,Spain - La Liga (1),Villarreal CF,8744,ROOF,0.05,0.127800639,0,5,0.179257,78.88562558
6059,Spain - La Liga (1),CD Leganés,115,Bahía Internacional,0.02,0.048956019,0,2,0.573065,78.88462916
33906,Spain - La Liga (1),FC Barcelona,9350,Niagara Sports,0.012345679,0.033723836,0,2,0.57919,78.53007655
16,Italy - Serie A (1),SSC Napoli,9099,G E V Sport & manaGement,0.024691358,0.002061828,0,8,0,78.4005113
8640,Germany - Bundesliga (1),SC Freiburg,9058,EMG Mundial Sports Media,0.024390244,0.119331239,0,2,0.477941,78.26295627
50,England - Premier League (1),Chelsea FC,3801,All Star Football Agency,0,0,0,8,0,77.99712026
8640,Germany - Bundesliga (1),SC Freiburg,9694,VIDA 11 Consulting,0.036585366,0.027840696,1,5,0,77.88769601
